⺀	(⺀,Yr,,部首補充)
㓘	(几一夕丶,DjFiUiLd,sù,CJK-A)
㓙	(文凵,RwEk,,CJK-A)
㓚	(工刂,KgGd,gōng,CJK-A)
㓛	(工刀,KgId,,CJK-A)
㓜	(幺刀,IaId,yòu,CJK-A)
㓝	(二{介下}刂,YrUaGd,xíng,CJK-A)
㓞	(丰刀,LfId,qià,CJK-A)
㓟	(皮刂,CpGd,pí,CJK-A)
㓠	(卜口刂,ToOvGd,diàn_diǎn,CJK-A)
㓡	(缶刂,XfGd,fǔ_guā,CJK-A)
㓢	(夊口刂,EuOvGd,luò,CJK-A)
㓣	(合刂,RhGd,qià_gē,CJK-A)
㓤	(士口刂,GiOvGd,qià,CJK-A)
㓥	(小彐刂,ViXxGd,tāng,CJK-A)
㓦	(丆日刂,UsJrGd,bāi,CJK-A)
㓧	(人丶乛刂,ReLdViGd,gān,CJK-A)
㓨	(大人人刂,UdReReGd,cí,CJK-A)
㓩	(冖用刂,PiWoGd,xuān_jiē,CJK-A)
㓪	(丶彐厶刀,LdXxKsId,lǎng,CJK-A)
㓫	(大一卄刂,UdFiScGd,,CJK-A)
㓬	(丷夫刀刂,QdKfIdGd,,CJK-A)
㓭	(日勹人刂,JrHbReGd,shé,CJK-A)
㓮	(⺆土口刂,HbGtOvGd,diāo,CJK-A)
㓯	(巛田刂,IcYtGd,lí,CJK-A)
㓰	(一由凵刂,FiTyEkGd,huà,CJK-A)
㓱	(人一月刂,ReFiWyGd,tóu_shū,CJK-A)
㓲	(户冊刂,AhDeGd,piān,CJK-A)
㓳	(日一龰刂,JrFiNzGd,dī,CJK-A)
㓴	(而大刂,PeUdGd,ruǎn,CJK-A)
㓵	(口口一刂,OvOvFiGd,è,CJK-A)
㓶	(丰刀大刂,LfIdUdGd,qiè,CJK-A)
㓷	(自木刂,RiFmGd,yì,CJK-A)
㓸	(匚コ{亞下}刂,JfBoQyGd,zhuō_dōu,CJK-A)
㓹	(厂火火刂,McThThGd,ruì_cuì_jì,CJK-A)
㓺	({虎头}文刂,MhRwGd,jiān_qián,CJK-A)
㓻	(罒一止刂,KwFiNzGd,,CJK-A)
㓼	(木人水刂,FmReHsGd,chì,CJK-A)
㓽	(山宀示刂,TsKbDiGd,chóng,CJK-A)
㓾	(尸水牛刂,YsHsTnGd,xī_chí,CJK-A)
㓿	(禾人水刂,VeReHsGd,,CJK-A)
㔀	(日{京頭}小刂,JrLgViGd,lüè,CJK-A)
㔁	(癶一口刂,BoFiOvGd,dēng,CJK-A)
㔂	(米夕ヰ刂,LiUiJkGd,lín,CJK-A)
㔃	(糹冖巴刀,PsPiNbId,jué_xuē,CJK-A)
㔄	(西米刂,HiLiGd,sù,CJK-A)
㔅	(肀片爿刂,XxSpSqGd,xiào,CJK-A)
㔆	(匚儿匚刂,JfNeJfGd,zàn,CJK-A)
㔇	(癶弓殳刂,BoPoDuGd,,CJK-A)
㔈	(艹非刂,ScUfGd,,CJK-A)
㔉	(尸丿虫刂,YsMpAoGd,zhǔ,CJK-A)
㔊	(亠囗口刂,LtXwOvGd,zhǎn_dǎn,CJK-A)
㔋	(臣{⺮右}皿刂,SeAzRmGd,jiān_lán,CJK-A)
㔌	(耳又亻刂,MrBoEeGd,zòu_cǒu,CJK-A)
㔍	(竹目卄刂,AzAuScGd,chuā_zhá,CJK-A)
㔎	(屮𠂤辛刀,EcEdMxId,xiè,CJK-A)
㔏	(石石石刂,UsUsUsGd,lì_luǒ,CJK-A)
㔐	(竹二非刂,AzYrUfGd,,CJK-A)
㔑	(艹𠂤辛刀,ScEdMxId,chì,CJK-A)
㔒	(山隹冂刂,TsYzPkGd,xí,CJK-A)
㔓	(千力,YqWl,jiǎn,CJK-A)
㔔	(力口〇,WlOvOv,,CJK-A)
㔕	(气力,XiWl,jí,CJK-A)
㔖	(力口乛,WlOvVi,,CJK-A)
㔗	(弓{介下}力,PoUaWl,fèi_bèi_fú,CJK-A)
㔘	(屮凵力,EcEkWl,chù,CJK-A)
㔙	(䒑卄力,QdScWl,bēng,CJK-A)
㔚	(舌力,SsWl,jié,CJK-A)
㔛	(士口力,GiOvWl,,CJK-A)
㔜	(爪子力,AuKzWl,bá,CJK-A)
㔝	(一巾入力,FiVjIrWl,liǎng_liáng,CJK-A)
㔞	(千丬匕力,YqDqIbWl,kuài,CJK-A)
㔟	(生九丶力,LeTjLdWl,,CJK-A)
㔠	(日勹人力,JrHbReWl,xiā_hé,CJK-A)
㔡	({囟框}乂匕力,NxCiIbWl,biē,CJK-A)
㔢	(糹冖巴力,PsPiNbWl,jué_xuē,CJK-A)
㔣	(田田田力,YtYtYtWl,léi,CJK-A)
㔤	(宀丿米力,KbMpLiWl,xìn,CJK-A)
㔥	(罒厶月力,KwKsWyWl,bài_pí,CJK-A)
㔦	(䒑夫丶力,QdKfLdWl,yǎng,CJK-A)
㔧	({虎头}田皿力,MhYtRmWl,lǜ,CJK-A)
㔨	(勹丬匕月,HbDqIbWy,bèi,CJK-A)
㔩	(勹土厶皿,HbGtKsRm,è,CJK-A)
㔪	(勹鹵,HbMl,lǔ,CJK-A)
㔫	({左上}匕,SzIb,,CJK-A)
㔬	(匕早,IbMa,,CJK-A)
㔭	(匕日一龰,IbJrFiNz,chè,CJK-A)
㔮	(卄一口匕,ScFiOvIb,nuó,CJK-A)
㔯	(匚几口,JfDjOv,xuán_suǎn,CJK-A)
㔰	(匚夕卜,JfUiTo,héng,CJK-A)
㔱	(匚臼人,JfHjRe,yǔ,CJK-A)
㔲	(匚食九,JfVsTj,,CJK-A)
㔳	(匚食几,JfVsDj,guǐ,CJK-A)
㔴	(匚田龷八,JfYtScUa,yì,CJK-A)
㔵	(匚巳巳八,JfNiNiUa,xuǎn,CJK-A)
㔶	(匚立早貝,JfNlMaXb,gòng_gǎn,CJK-A)
㔷	(匚一冂人,JfFiPkRe,lòu,CJK-A)
㔸	(匚⺁虎,JfCjMh,tī,CJK-A)
㔹	(十力,QiWl,lè,CJK-A)
㔺	(十十乚,QiQiKv,shì,CJK-A)
㔻	(不十,ObQi,,CJK-A)
㔼	(扌隹十,CsYzQi,sǔn,CJK-A)
㔽	(卜囗口,ToXwOv,yào,CJK-A)
㔾	(㔾,Vi,xiān_jié,GBK)
㔿	(匚丨,JfUs,zòu,CJK-A)
㕀	(由㔾,TyVi,,CJK-A)
㕁	(乂{左上}厶卩,CiSzKsKj,què,CJK-A)
㕂	(厂人丶乛,McReLdVi,yín_qín,CJK-A)
㕃	(厂一卄,McFiSc,xī,CJK-A)
㕄	(厂一幺,McFiIa,zhǐ,CJK-A)
㕅	(厂甲,McJa,jiá,CJK-A)
㕆	(厂古,McIu,hù,CJK-A)
㕇	(厂立,McNl,lā,CJK-A)
㕈	(厂亠𧘇,McLtSi,yǐ,CJK-A)
㕉	(厂合,McRh,kè,CJK-A)
㕊	(厂甫,McDf,fū,CJK-A)
㕋	(厂金,McKj,qín,CJK-A)
㕌	(厂日一寸,McJrFiAc,ài,CJK-A)
㕍	(厂隹,McYz,,CJK-A)
㕎	(厂土厶皿,McGtKsRm,kè,CJK-A)
㕏	(厂一口十,McFiOvQi,chú,CJK-A)
㕐	(厂臼勹灬,McHjHbTo,xiě_xiè,CJK-A)
㕑	(厂壴寸,McNzAc,chú,CJK-A)
㕒	(厂羊丿戈,McDyMpMe,wēi,CJK-A)
㕓	(厂黑土,McQhGt,,CJK-A)
㕔	(厂耳王心,McMrJwTi,,CJK-A)
㕕	(厶厶,KsKs,huàn,CJK-A)
㕖	(厶厶厶木,KsKsKsFm,sù,CJK-A)
㕗	(羊冖丶厶,DyPiLdKs,yòu,CJK-A)
㕘	(厶厶厶小,KsKsKsVi,,CJK-A)
㕙	(厶八夊丶,KsUaEuLd,jùn,CJK-A)
㕚	(又丶丶,BoLdLd,zhǎo,CJK-A)
㕛	(又又,BoBo,xù,CJK-A)
㕜	(口丨又,OvUsBo,shǐ,CJK-A)
㕝	(古又,IuBo,,CJK-A)
㕞	(尸巾又,YsVjBo,shuā,CJK-A)
㕟	(卜冊又,ToDeBo,kuì_kuài,CJK-A)
㕠	(二隹又,YrYzBo,shuāng,CJK-A)
㕡	(卜冖一又,ToPiFiBo,hé,CJK-A)
㕢	(卜冖一又,ToPiFiBo,gài_hài,CJK-A)
㕣	(八口,UaOv,yǎn,CJK-A)
㕤	(口九,OvTj,qiú,CJK-A)
㕥	(口人,OvRe,shēn,CJK-A)
㕦	(口大,OvUd,huà,CJK-A)
㕧	(口尸,OvYs,xī,CJK-A)
㕨	(口几丶,OvDjLd,fàn,CJK-A)
㕩	(口丰,OvLf,pàng,CJK-A)
㕪	(口冖儿,OvPiNe,dǎn,CJK-A)
㕫	(口方,OvNf,fǎng_fēng,CJK-A)
㕬	(口八厶,OvUaKs,gōng_sòng,CJK-A)
㕭	(口夭,OvVy,āo_ào,CJK-A)
㕮	(口八乂,OvUaCi,fǔ,CJK-A)
㕯	(冂人口,PkReOv,nè,CJK-A)
㕰	(口毛,OvFo,xuè_ma,CJK-A)
㕱	(口尤,OvKy,yóu,CJK-A)
㕲	(口木,OvFm,huá_yíng,CJK-A)
㕳	(口乂凵,OvCiEk,,CJK-A)
㕴	(口冖几,OvPiDj,chén,CJK-A)
㕵	(口王,OvJw,guó,CJK-A)
㕶	(口一{五下},OvFiHw,ň_ňg,CJK-A)
㕷	(口白,OvDb,huà_pā,CJK-A)
㕸	(口立,OvNl,lì,CJK-A)
㕹	(口{左上}又丶,OvSzBoLd,fá,CJK-A)
㕺	(口口丂,OvOvQk,xiāo,CJK-A)
㕻	(丶不口,LdObOv,pǒu,CJK-A)
㕼	(口勹乂乚,OvHbCiKv,,CJK-A)
㕽	(口乚丶人,OvKvLdRe,sì,CJK-A)
㕾	(小口匕,ViOvIb,,CJK-A)
㕿	(禾口,VeOv,,CJK-A)
㖀	(口彐キ,OvXxJk,lè,CJK-A)
㖁	(口乂{左上}厶,OvCiSzKs,lìn,CJK-A)
㖂	(口电丿,OvPdMp,yì,CJK-A)
㖃	(口⺁一口,OvCjFiOv,hǒu_hòu,CJK-A)
㖄	(口⺍川,OvIsXc,,CJK-A)
㖅	(口戊一,OvMwFi,xù,CJK-A)
㖆	(口冂龷,OvPkSc,qú,CJK-A)
㖇	(口而,OvPe,ér,CJK-A)
㖈	(耂匕口,GtIbOv,,CJK-A)
㖉	(口人止,OvReNz,,CJK-A)
㖊	(口彐寸,OvXxAc,xún,CJK-A)
㖋	(人{介下}口匕,ReUaOvIb,,CJK-A)
㖌	(亻九口匕,EeTjOvIb,,CJK-A)
㖍	(⺀十口匕,YrQiOvIb,,CJK-A)
㖎	(口匕人{介下},OvIbReUa,,CJK-A)
㖏	(口日土,OvJrGt,niè,CJK-A)
㖐	(口口彐丿,OvOvXxMp,wěi,CJK-A)
㖑	(口戈卄,OvMeSc,xiè,CJK-A)
㖒	(口丷弓丿,OvQdPoMp,tí,CJK-A)
㖓	(口夊丰,OvEuLf,hóng,CJK-A)
㖔	(口夭口,OvVyOv,tǔn,CJK-A)
㖕	(口辛,OvMx,niè_xīn,CJK-A)
㖖	(辛口,MxOv,niè,CJK-A)
㖗	(口山人乛,OvTsReVi,yín,CJK-A)
㖘	(口辰,OvLc,zhēn,CJK-A)
㖙	(力口口匕,WlOvOvIb,,CJK-A)
㖚	(亻寸口匕,EeAcOvIb,,CJK-A)
㖛	(古口匕,IuOvIb,,CJK-A)
㖜	({京頭}口匕,LgOvIb,,CJK-A)
㖝	(未口匕,UwOvIb,,CJK-A)
㖞	(口口冂人,OvOvPkRe,wāi,GBK)
㖟	(口爪冖又,OvAuPiBo,shòu,CJK-A)
㖠	(口大示,OvUdDi,nuò,CJK-A)
㖡	(口亠亻乀,OvLtEeLd,yè,CJK-A)
㖢	(口广止匕,OvLaNzIb,qí,CJK-A)
㖣	(口立口,OvNlOv,tòu,CJK-A)
㖤	(口乛水凵,OvViHsEk,hán,CJK-A)
㖥	(口囗禾,OvXwVe,jùn,CJK-A)
㖦	(口木日,OvFmJr,dǒng,CJK-A)
㖧	(口{卬左}七日,OvGmWiJr,hūn_wěn,CJK-A)
㖨	(口彐水,OvXxHs,lù,CJK-A)
㖩	(口耳又,OvMrBo,jū_sǒu,CJK-A)
㖪	(口戈口一,OvMeOvFi,huò_guó_xù,CJK-A)
㖫	(口土八夊,OvGtUaEu,líng,CJK-A)
㖬	(口臼又,OvHjBo,,CJK-A)
㖭	(口一大丶,OvFiUdLd,tiǎn,CJK-A)
㖮	(口人一冊,OvReFiDe,lún,CJK-A)
㖯	(冂一口匕,PkFiOvIb,,CJK-A)
㖰	(口匕冂口,OvIbPkOv,,CJK-A)
㖱	(亠亻夕口,LtEeUiOv,,CJK-A)
㖲	(女口口匕,RnOvOvIb,,CJK-A)
㖳	(氵女口匕,IsRnOvIb,,CJK-A)
㖴	(口艹勹{两撇},OvScHbHp,,CJK-A)
㖵	(口且八,OvHqUa,gé,CJK-A)
㖶	(口西土,OvHiGt,yān_yè_yīn,CJK-A)
㖷	(口日一龰,OvJrFiNz,shí_tí,CJK-A)
㖸	(口{虎头}{反彐},OvMhXx,xué_niā,CJK-A)
㖹	(口八刀皿,OvUaIdRm,pēn_fèn,CJK-A)
㖺	(口𡗗日,OvWpJr,chǔn,CJK-A)
㖻	(口予丿木,OvMuMpFm,niú_ròu,CJK-A)
㖼	(口卄二木,OvScYrFm,duǒ,CJK-A)
㖽	(口丆貝,OvUsXb,zé,CJK-A)
㖾	(口口䒑屮,OvOvQdEc,è,CJK-A)
㖿	(口耳阝,OvMrBf,xié_yé,CJK-A)
㗀	(口山幺幺,OvTsIaIa,yōu,CJK-A)
㗁	(口口口丂,OvOvOvQk,è,CJK-A)
㗂	(口小丿目,OvViMpAu,shěng,CJK-A)
㗃	(口巳七日,OvNiWiJr,wěn_hūn,CJK-A)
㗄	(口罒方,OvKwNf,kū,CJK-A)
㗅	(口古月,OvIuWy,hú,CJK-A)
㗆	(口革,OvNg,gé,CJK-A)
㗇	(口尸二又,OvYsYrBo,xiá_ya,CJK-A)
㗈	(口マ用力,OvBoWoWl,màn,CJK-A)
㗉	(丰刀夊口,LfIdEuOv,lüè_è,CJK-A)
㗊	(口口口口,OvOvOvOv,jí_léi,CJK-A)
㗋	(口冖厂矢,OvPiMcAs,hóu,CJK-A)
㗌	(口宀至,OvKbUz,zhì,CJK-A)
㗍	(口禾日,OvVeJr,,CJK-A)
㗎	(口力口木,OvWlOvFm,,CJK-A)
㗏	(口不一止,OvObFiNz,wāi,CJK-A)
㗐	(口大丶皿,OvUdLdRm,,CJK-A)
㗑	(口龵一丰,OvLsFiLf,bai,CJK-A)
㗒	(口{京頭}𧘇,OvLgSi,ài,CJK-A)
㗓	(口𠂤辶,OvEdHc,zhuī,CJK-A)
㗔	(口{虎头}文,OvMhRw,qiān,CJK-A)
㗕	(口{冓上}冂土,OvSaPkGt,gòu_gōu,CJK-A)
㗖	(口爪臼,OvAuHj,dàn,CJK-A)
㗗	(口力{卑上}十,OvWlPgQi,bēi,CJK-A)
㗘	(口甫寸,OvDfAc,bó,CJK-A)
㗙	(口勹屮屮,OvHbEcEc,chū_nà_zhōu,CJK-A)
㗚	(口西木,OvHiFm,lì,CJK-A)
㗛	(口竹夭,OvAzVy,xiào,CJK-A)
㗜	(口亠幺田,OvLtIaYt,xiù,CJK-A)
㗝	(口羊灬,OvDyTo,,CJK-A)
㗞	(口石皮,OvUsCp,,CJK-A)
㗟	(氵丶王匕,IsLdJwIb,,CJK-A)
㗠	(女厶口匕,RnKsOvIb,,CJK-A)
㗡	(艹亻乃匕,ScEeVnIb,,CJK-A)
㗢	(口千里力,OvYqDlWl,hóng_dòng_hòng,CJK-A)
㗣	(口卌一巾,OvSaFiVj,tì,CJK-A)
㗤	(戊上小口,MwKsViOv,cù,CJK-A)
㗥	(口{京頭}子阝,OvLgKzBf,kuò_guō,CJK-A)
㗦	(口耳卯,OvMrGm,láo,CJK-A)
㗧	(口穴至,OvWxUz,zhì_dié,CJK-A)
㗨	(匚矢殳口,JfAsDuOv,xiē_ǎi,CJK-A)
㗩	(口习习白,OvBiBiDb,xī,CJK-A)
㗪	(口止匕糸,OvNzIbPs,,CJK-A)
㗫	(口{祭上}示,OvWyDi,qiè,CJK-A)
㗬	(尚夕夕,JsUiUi,zhā,CJK-A)
㗭	(口丿米心,OvMpLiTi,xī,CJK-A)
㗮	(夕口广人,UiOvLaRe,,CJK-A)
㗯	(耂日口匕,GtJrOvIb,,CJK-A)
㗰	(口彳人龰,OvXcReNz,cóng,CJK-A)
㗱	(口隹木,OvYzFm,jí,CJK-A)
㗲	(口彐土一,OvXxGtFi,huò,CJK-A)
㗳	(口竹合,OvAzRh,tǎ_dā,CJK-A)
㗴	(口門月,OvCmWy,yán,CJK-A)
㗵	(口火火欠,OvThThEq,xù,CJK-A)
㗶	(口癶弓殳,OvBoPoDu,pō,CJK-A)
㗷	(口宀{冓上}贝,OvKbSaCb,sǎi,CJK-A)
㗸	(口彳缶亍,OvXcXfIc,,CJK-A)
㗹	(口隹心,OvYzTi,,CJK-A)
㗺	(口一大非,OvFiUdUf,,CJK-A)
㗻	(口咼辶,OvVkHc,guō,CJK-A)
㗼	(口业羊八,OvAeDyUa,yè,CJK-A)
㗽	({纟上}丿丶口,NjMpLdOv,xiǎng,CJK-A)
㗾	(口革亻匕,OvNgEeIb,xuē,CJK-A)
㗿	(口門丁口,OvCmDdOv,hé_xià_xiā,CJK-A)
㘀	(口臼米,OvHjLi,zuò,CJK-A)
㘁	(口罒土十,OvKwGtQi,yì,CJK-A)
㘂	(口䒑幺心,OvQdIaTi,cí,CJK-A)
㘃	(口艹{左上}心,OvScSzTi,,CJK-A)
㘄	(口木罒方,OvFmKwNf,lēng,CJK-A)
㘅	(口彳金亍,OvXcKjIc,xián,CJK-A)
㘆	(口士口至,OvGiOvUz,tǎi,CJK-A)
㘇	(口火火木,OvThThFm,róng,CJK-A)
㘈	(口匕矢龰,OvIbAsNz,yì_nǐ,CJK-A)
㘉	(口竹彐卩,OvAzXxKj,zhì,CJK-A)
㘊	(口雨言,OvXuUy,xī_yì,CJK-A)
㘋	(口臣又貝,OvSeBoXb,xián,CJK-A)
㘌	(口{虎头}豕刂,OvMhBiGd,jù,CJK-A)
㘍	(口小隹戈,OvViYzMe,jí,CJK-A)
㘎	(口门乛夊,OvQmViEu,hǎn,GBK)
㘏	(䒑自辶匕,QdRiHcIb,,CJK-A)
㘐	(口馬亠乂,OvPaLtCi,pào,CJK-A)
㘑	(口士示水,OvGiDiHs,lì,CJK-A)
㘒	(禾千里匕,VeYqDlIb,,CJK-A)
㘓	(口門木丷,OvCmFmQd,lán,CJK-A)
㘔	(口宀{冓上}貝,OvKbSaXb,sǎi,CJK-A)
㘕	(口艹臣皿,OvScSeRm,hǎn_lán,CJK-A)
㘖	(口立丿貝,OvNlMpXb,yán,CJK-A)
㘗	(口目目隹,OvAuAuYz,qū,CJK-A)
㘘	(言糹糹口,UyPsPsOv,,CJK-A)
㘙	(口口口夊,OvOvOvEu,yán,CJK-A)
㘚	(口門乛夊,OvCmViEu,hǎn,GBK)
㘛	(口合立{龍右},OvRhNlTo,kān,CJK-A)
㘜	(隹言隹口,YzUyYzOv,chǐ,CJK-A)
㘝	(囗又,XwBo,niè,CJK-A)
㘞	(囗力,XwWl,huò,CJK-A)
㘟	(囗卄,XwSc,,CJK-A)
㘠	(囗心丿,XwTiMp,bì,CJK-A)
㘡	(囗甲,XwJa,xiá,CJK-A)
㘢	(囗小兀,XwViPw,wěng,CJK-A)
㘣	(囗口月,XwOvWy,xuán_yuán,CJK-A)
㘤	(囗氵片一,XwIsSpFi,wān,CJK-A)
㘥	(囗爪缶糸,XwAuXfPs,yóu,CJK-A)
㘦	(土力,GtWl,qín,CJK-A)
㘧	(土予,GtMu,xù,CJK-A)
㘨	(土冂人,GtPkRe,niè,CJK-A)
㘩	(土匕匕,GtIbIb,bì,CJK-A)
㘪	(土毛,GtFo,hào,CJK-A)
㘫	(土二{介下},GtYrUa,jǐng,CJK-A)
㘬	(土勹厶,GtHbKs,ào_wù,CJK-A)
㘭	(土幺乛,GtIaVi,ào,CJK-A)
㘮	(土尸乀,GtYsLd,,CJK-A)
㘯	(土𠂉力,GtAzWl,,CJK-A)
㘰	(土⺀十,GtYrQi,zhēn,CJK-A)
㘱	(土冂土,GtPkGt,tān,CJK-A)
㘲	(土尸九,GtYsTj,jú,CJK-A)
㘳	(丬匕土,DqIbGt,,CJK-A)
㘴	(口人土,OvReGt,zuò,CJK-A)
㘵	(土{左上}巾,GtSzVj,bù,CJK-A)
㘶	(夕ヰ土,UiJkGt,jié,CJK-A)
㘷	(土艹乂,GtScCi,ài,CJK-A)
㘸	(一夕匕土,FiUiIbGt,zàng_zuò,CJK-A)
㘹	(止匕土,NzIbGt,cí,CJK-A)
㘺	(土亻戈,GtEeMe,fá,CJK-A)
㘻	(土囗大,GtXwUd,,CJK-A)
㘼	(土耂丂,GtGtQk,,CJK-A)
㘽	(十戈土,QiMeGt,,CJK-A)
㘾	(土宀一{于下},GtKbFiAc,,CJK-A)
㘿	(土日土,GtJrGt,niè,CJK-A)
㙀	(土穴九,GtWxTj,liù_jiù,CJK-A)
㙁	(土𠂉母,GtAzGu,méi_mù,CJK-A)
㙂	(土丷口儿,GtQdOvNe,duì_wèng,CJK-A)
㙃	(土斤一八,GtCjFiUa,bāng,CJK-A)
㙄	(土匕匕土,GtIbIbGt,bì,CJK-A)
㙅	(土口木,GtOvFm,bǎo,CJK-A)
㙆	(土宀{左上}厶,GtKbSzKs,,CJK-A)
㙇	(土豕丶,GtBiLd,chù,CJK-A)
㙈	(土虎,GtMh,xià,CJK-A)
㙉	(土冂龷八,GtPkScUa,tiǎn,CJK-A)
㙊	(土長,GtMz,cháng_zhàng,CJK-A)
㙋	(土其,GtEi,,CJK-A)
㙌	(土肀{介下}八,GtXxUaUa,,CJK-A)
㙍	(土又又又,GtBoBoBo,duō,CJK-A)
㙎	(土戊一女,GtMwFiRn,wēi,CJK-A)
㙏	(土𠂉日夊,GtAzJrEu,fù,CJK-A)
㙐	(土山而,GtTsPe,duǒ,CJK-A)
㙑	(丿虫冂土,MpAoPkGt,yǔ,CJK-A)
㙒	(田予土,YtMuGt,yě,CJK-A)
㙓	(土土土土,GtGtGtGt,kuí,CJK-A)
㙔	(土韋,GtHw,wěi_hán,CJK-A)
㙕	(土田月,GtYtWy,kuài,CJK-A)
㙖	(土丿虫冂,GtMpAoPk,,CJK-A)
㙗	(土田{畏下},GtYtJf,wēi,CJK-A)
㙘	(土西女,GtHiRn,yāo,CJK-A)
㙙	(氵尤彡土,IsKyHpGt,lǒng,CJK-A)
㙚	(土羊牛,GtDyTn,xīng,CJK-A)
㙛	(土甫寸,GtDfAc,bǔ,CJK-A)
㙜	(高土,LgGt,chí,CJK-A)
㙝	(土力力月,GtWlWlWy,xié,CJK-A)
㙞	(土自木,GtRiFm,niè,CJK-A)
㙟	(土丶彐月,GtLdXxWy,lǎng,CJK-A)
㙠	(匚矢殳土,JfAsDuGt,yī_yì,CJK-A)
㙡	(土彳人龰,GtXcReNz,zōng,CJK-A)
㙢	(土卄一入,GtScFiIr,mán,CJK-A)
㙣	(土弓長,GtPoMz,zhàng,CJK-A)
㙤	(土{虎头}丿{于下},GtMhMpAc,xià,CJK-A)
㙥	(土亠八𧘇,GtLtUaSi,gùn,CJK-A)
㙦	(人一木土,ReFiFmGt,xié,CJK-A)
㙧	(土丌匚田,GtUiJfYt,,CJK-A)
㙨	(土幺幺人,GtIaIaRe,jì,CJK-A)
㙩	(土大丷小,GtUdQdVi,liáo,CJK-A)
㙪	(土士冖䒑,GtGiPiQd,yì,CJK-A)
㙫	(土隹木,GtYzFm,jí,CJK-A)
㙬	(來犬土,ClLqGt,yín,CJK-A)
㙭	(土厂䒑欠,GtMcQdEq,,CJK-A)
㙮	(土竹合,GtAzRh,dā_da,CJK-A)
㙯	(土八土厶,GtUaGtKs,yì,CJK-A)
㙰	(冖用刀土,PiWoIdGt,xiè,CJK-A)
㙱	(口丂虎土,OvQkMhGt,hào,CJK-A)
㙲	(土亠{纟上}隹,GtLtNjYz,yǒng,CJK-A)
㙳	(土戊一心,GtMwFiTi,kǎn_hǎn,CJK-A)
㙴	(土冖厂言,GtPiMcUy,chàn,CJK-A)
㙵	(土高土,GtLgGt,tái,CJK-A)
㙶	({京頭}尚土,LgJsGt,táng,CJK-A)
㙷	(土日幺灬,GtJrIaTo,zhí_zhé,CJK-A)
㙸	(土亻业夫,GtEeAeKf,bào,CJK-A)
㙹	(土艹罒夕,GtScKwUi,méng,CJK-A)
㙺	(土匚口貝,GtJfOvXb,kuí_guì,CJK-A)
㙻	(土广里土,GtLaDlGt,chán,CJK-A)
㙼	(土田田田,GtYtYtYt,lěi,CJK-A)
㙽	(土大丆日,GtUdUsJr,,CJK-A)
㙾	(土臼乂子,GtHjCiKz,xì,CJK-A)
㙿	(土羊禾戈,GtDyVeMe,,CJK-A)
㚀	(土{虎头}一戈,GtMhFiMe,xī,CJK-A)
㚁	(土土土兀,GtGtGtPw,qiào,CJK-A)
㚂	(土十口𧘇,GtQiOvSi,nàng,CJK-A)
㚃	(士冖乂䒑,GiPiCiQd,yūn,CJK-A)
㚄	(士冖田龰,GiPiYtNz,,CJK-A)
㚅	(夊一生,EuFiLe,lóng,CJK-A)
㚆	(亠日夊,LtJrEu,fù,CJK-A)
㚇	(乂凵八夊,CiEkUaEu,zōng,CJK-A)
㚈	(夕十,UiQi,,CJK-A)
㚉	(乃夕夕,VnUiUi,gǔ,CJK-A)
㚊	(夕夕亥,UiUiWh,kāi,CJK-A)
㚋	(夕夕⺆口,UiUiHbOv,diāo,CJK-A)
㚌	(夕夕日木,UiUiJrFm,huà,CJK-A)
㚍	(夕夕口貝,UiUiOvXb,kuǐ_kuì,CJK-A)
㚎	(大凵,UdEk,,CJK-A)
㚏	(大卄,UdSc,gǎo,CJK-A)
㚐	(大大,UdUd,tào,CJK-A)
㚑	(彐大,XxUd,,CJK-A)
㚒	(大入入,UdIrIr,shǎn,CJK-A)
㚓	(大木,UdFm,lǎi,CJK-A)
㚔	(大䒑十,UdQdQi,niè_xìng,CJK-A)
㚕	(大弓{介下},UdPoUa,fú,CJK-A)
㚖	(白大,DbUd,gǎo_zé,CJK-A)
㚗	(大且,UdHq,qié,CJK-A)
㚘	(夫夫,KfKf,bàn_hè_fú,CJK-A)
㚙	(力口大,WlOvUd,jiā,CJK-A)
㚚	(大夕口,UdUiOv,kōng_kuāng,CJK-A)
㚛	(大匕日,UdIbJr,xì,CJK-A)
㚜	(大戈口一,UdMeOvFi,yù_xù,CJK-A)
㚝	(大亻土土,UdEeGtGt,zhuī,CJK-A)
㚞	(大木木,UdFmFm,shěn,CJK-A)
㚟	(冖口匕大,PiOvIbUd,chuò,CJK-A)
㚠	(大羊灬,UdDyTo,xiāo,CJK-A)
㚡	(大丁口口,UdDdOvOv,jǐ,CJK-A)
㚢	(亻女,EeRn,nú_wǔ,CJK-A)
㚣	(女女,RnRn,xiáo,CJK-A)
㚤	(女弋,RnMi,yì,CJK-A)
㚥	(女一{于下},RnFiAc,yú,CJK-A)
㚦	(女丌,RnUi,yí,CJK-A)
㚧	(女广,RnLa,yǎn,CJK-A)
㚨	(女乛十,RnViQi,shěn,CJK-A)
㚩	(女冂二,RnPkYr,rǎn,CJK-A)
㚪	(女毛,RnFo,hào,CJK-A)
㚫	(女乃乀,RnVnLd,sà,CJK-A)
㚬	(女勹二,RnHbYr,jūn,CJK-A)
㚭	(女尤,RnKy,yóu,CJK-A)
㚮	(女冖几,RnPiDj,,CJK-A)
㚯	(女几乂,RnDjCi,xín,CJK-A)
